,LONGITUDE,LATITUDE,TIME,RAINFALL
0,78.5,30.5,1951-01-01,0.0
1,78.5,30.5,1951-01-02,0.0
2,78.5,30.5,1951-01-03,0.0
3,78.5,30.5,1951-01-04,0.0
4,78.5,30.5,1951-01-05,0.0
5,78.5,30.5,1951-01-06,0.0
6,78.5,30.5,1951-01-07,0.5612708926200867
7,78.5,30.5,1951-01-08,9.910444259643555
8,78.5,30.5,1951-01-09,0.0
9,78.5,30.5,1951-01-10,0.0
10,78.5,30.5,1951-01-11,0.0
11,78.5,30.5,1951-01-12,0.0
12,78.5,30.5,1951-01-13,5.217584133148193
13,78.5,30.5,1951-01-14,7.691619873046875
14,78.5,30.5,1951-01-15,0.0
15,78.5,30.5,1951-01-16,2.2887141704559326
16,78.5,30.5,1951-01-17,13.716631889343262
17,78.5,30.5,1951-01-18,0.0
18,78.5,30.5,1951-01-19,0.0
19,78.5,30.5,1951-01-20,6.97310209274292
20,78.5,30.5,1951-01-21,0.0
21,78.5,30.5,1951-01-22,0.0
22,78.5,30.5,1951-01-23,0.0
23,78.5,30.5,1951-01-24,0.0
24,78.5,30.5,1951-01-25,0.0
25,78.5,30.5,1951-01-26,0.0
26,78.5,30.5,1951-01-27,0.0
27,78.5,30.5,1951-01-28,0.0
28,78.5,30.5,1951-01-29,0.0
29,78.5,30.5,1951-01-30,0.0
30,78.5,30.5,1951-01-31,0.0
31,78.5,30.5,1951-02-01,5.944510459899902
32,78.5,30.5,1951-02-02,4.666549205780029
33,78.5,30.5,1951-02-03,0.0
34,78.5,30.5,1951-02-04,0.0
35,78.5,30.5,1951-02-05,0.0
36,78.5,30.5,1951-02-06,0.2676040232181549
37,78.5,30.5,1951-02-07,0.0
38,78.5,30.5,1951-02-08,0.0
39,78.5,30.5,1951-02-09,0.0
40,78.5,30.5,1951-02-10,4.6195526123046875
41,78.5,30.5,1951-02-11,2.6340386867523193
42,78.5,30.5,1951-02-12,0.0
43,78.5,30.5,1951-02-13,0.0
44,78.5,30.5,1951-02-14,0.0
45,78.5,30.5,1951-02-15,0.0
46,78.5,30.5,1951-02-16,0.0
47,78.5,30.5,1951-02-17,0.0
48,78.5,30.5,1951-02-18,0.0
49,78.5,30.5,1951-02-19,0.0
50,78.5,30.5,1951-02-20,0.0
51,78.5,30.5,1951-02-21,0.0
52,78.5,30.5,1951-02-22,0.0
53,78.5,30.5,1951-02-23,0.0
54,78.5,30.5,1951-02-24,0.0
55,78.5,30.5,1951-02-25,0.0
56,78.5,30.5,1951-02-26,0.0
57,78.5,30.5,1951-02-27,0.0
58,78.5,30.5,1951-02-28,0.0
59,78.5,30.5,1951-03-01,0.0
60,78.5,30.5,1951-03-02,0.0
61,78.5,30.5,1951-03-03,0.0
62,78.5,30.5,1951-03-04,0.0
63,78.5,30.5,1951-03-05,0.0
64,78.5,30.5,1951-03-06,0.0
